"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Exchange invalid code — expect 400.","2","test_oauth_callback_invalid_code","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestOAuthLogin","test_oauth","",""
"Get a user by ID — expect 200 and valid user object.","7","test_get_user_by_id","tests","Tue Sep 08 04:52:21 UTC 2026","passed","Tue Sep 08 04:52:21 UTC 2026","TestGetUser","test_users","",""
"Register a user, login, delete self — expect 204.","529","test_delete_own_account","tests","Tue Sep 08 04:52:22 UTC 2026","passed","Tue Sep 08 04:52:23 UTC 2026","TestDeleteUser","test_users","",""
"OAuth-authenticated client can list users — expect 200.","7","test_oauth_user_can_list_users","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestOAuthAccess","test_oauth","",""
"Register with an invalid email format — expect 422.","2","test_register_invalid_email","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestAuthNegative","test_negative","",""
"Get a user that doesn't exist — expect 404.","4","test_get_user_not_found","tests","Tue Sep 08 04:52:21 UTC 2026","passed","Tue Sep 08 04:52:21 UTC 2026","TestGetUser","test_users","",""
"Get current user profile — expect 200 and correct username.","4","test_get_me","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestMe","test_auth","",""
"Update your own email — expect 200 and updated value.","8","test_update_own_email","tests","Tue Sep 08 04:52:22 UTC 2026","passed","Tue Sep 08 04:52:22 UTC 2026","TestUpdateUser","test_users","",""
"Access /auth/me using API key — expect 200 and correct username.","4","test_get_me_with_api_key","tests","Tue Sep 08 04:52:12 UTC 2026","passed","Tue Sep 08 04:52:12 UTC 2026","TestApiKeyAuth","test_api_key","",""
"Login with valid credentials — expect 200 and token.","264","test_login_success","tests","Tue Sep 08 04:52:14 UTC 2026","passed","Tue Sep 08 04:52:14 UTC 2026","TestLogin","test_auth","",""
"Get /auth/me without token — expect 401.","2","test_get_me_no_auth","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestMe","test_auth","",""
"Access /users without token — expect 401.","2","test_list_users_no_auth","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestUnauthorized","test_negative","",""
"Register with an already-taken username — expect 400.","4","test_duplicate_username","tests","Tue Sep 08 04:52:13 UTC 2026","passed","Tue Sep 08 04:52:13 UTC 2026","TestRegister","test_auth","",""
"Login with wrong password — expect 401.","260","test_login_wrong_password","tests","Tue Sep 08 04:52:14 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestLogin","test_auth","",""
"OAuth-authenticated client can create products — expect 201.","7","test_oauth_user_can_create_product","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestOAuthAccess","test_oauth","",""
